Food ID,Food Name,Cuisine,Ingredients,Spice Level,Rating,Recommended For,Physical Activity Level,Stress Level,BMI Category,Blood Pressure,Preference
185,Es Teler,Indonesian,"Mixed fruit cocktail with avocado, coconut, condensed milk",Mild,4.6,Indonesian Dessert Lovers,Low,High,Overweight,130/85,Sweet
186,Soto Madura,Indonesian,"Chicken soup with shredded chicken, vermicelli, lime",Mild,4.5,Soup Lovers,High,Mild,Normal,120/80,Neutral
187,Gulai Kambing,Indonesian,"Lamb curry with coconut milk, turmeric, galangal",Moderate,4.8,Spicy Food Enthusiasts,High,Low,Normal,118/75,Savory
188,Nasi Kuning,Indonesian,"Yellow rice with fried chicken, anchovies, peanuts",Mild,4.7,Celebrations,High,High,Overweight,130/85,Savory
189,Sate Lilit,Indonesian,Minced fish or meat satay wrapped around bamboo sticks,Moderate,4.6,Seafood Lovers,High,Mild,Normal,120/80,Savory
190,Sayur Lodeh,Indonesian,"Vegetable stew in coconut milk, tofu, tempeh",Mild,4.7,Vegetarians,High,High,Overweight,130/85,Savory
191,Tahu Tek,Indonesian,"Fried tofu with peanut sauce, boiled eggs, rice cake",Mild,4.9,Street Snack Fans,Low,Low,Normal,118/75,Savory
192,Pempek Palembang,Indonesian,"Fishcake, spongy cake, vinegar sauce",Mild,4.8,Street Food Fans,High,Low,Normal,120/80,Savory
193,Coto Makassar,Indonesian,"Beef soup with nuts, herbs, spices",Mild,4.7,Soup Lovers,High,Moderate,Overweight,130/85,Savory
194,Laksa Betawi,Indonesian,"Spicy noodle soup with coconut milk, chicken, shrimp",Moderate,4.6,Spicy Food Enthusiasts,High,High,Overweight,130/85,Spicy
195,Bubur Ketan,Indonesian,"Sticky rice porridge with chicken, mushrooms, soy sauce",Mild,4.5,Comfort Food Enthusiasts,High,Low,Normal,122/78,Savory
196,Sate Kulit,Indonesian,"Grilled skewers made from cow skin, sweet soy sauce",Moderate,4.8,Adventurous Eaters,High,Mild,Overweight,130/85,Savory
197,Nasi Liwet,Indonesian,"Rice cooked in coconut milk, chicken, vegetables",Mild,4.7,Comfort Food Enthusiasts,High,Moderate,Normal,120/80,Savory
198,Lodeh Jawa,Indonesian,"Vegetable stew in coconut milk, tofu, tempeh",Mild,4.6,Vegetarians,High,Low,Normal,118/75,Savory
199,Bakwan Malang,Indonesian,"Meatballs, tofu, fried shrimp, vegetables, broth",Mild,4.5,Soup Lovers,High,Mild,Normal,120/80,Savory
200,Sambal Udang,Indonesian,Spicy shrimp with chili sauce,Moderate,4.8,Seafood Enthusiasts,High,High,Overweight,130/85,Spicy
201,Nasi Tumpeng,Indonesian,"Conical yellow rice, various side dishes",Moderate,4.7,Celebrations,High,Low,Normal,118/75,Savory
202,Asinan Jakarta,Indonesian,"Preserved fruits and vegetables, peanut sauce",Mild,4.6,Healthy Eaters,High,High,Overweight,130/85,Savory
203,Rawon,Indonesian,"Black beef soup, keluak, herbs, spices",Moderate,4.5,Soup Lovers,High,Moderate,Overweight,130/85,Savory
204,Nasi Campur,Indonesian,Mixed rice with various side dishes,Mild,4.8,Street Food Fans,High,Low,Normal,122/78,Savory
205,Rujak Cingur,Indonesian,"Salad with beef snout, fruits, vegetables, shrimp paste",Mild,4.7,Healthy Eaters,High,High,Overweight,130/85,Spicy
206,Sop Iga,Indonesian,"Beef rib soup with vegetables, herbs, spices",Mild,4.6,Soup Lovers,High,Moderate,Normal,120/80,Savory
207,Bebek Goreng,Indonesian,"Fried duck, sweet soy sauce, lime",Moderate,4.8,Meat Lovers,High,Moderate,Normal,120/80,Savory
208,Pisang Molen,Indonesian,Deep-fried banana roll,Mild,4.7,Street Snack Fans,Low,High,Overweight,130/85,Sweet
209,Sambal Matah,Indonesian,Raw shallot and lemongrass sambal,High,4.6,Spicy Food Enthusiasts,High,Low,Normal,122/78,Spicy
210,Sate Kambing,Indonesian,"Grilled lamb skewers, sweet soy sauce, peanut sauce",Moderate,4.8,Meat Lovers,High,Mild,Overweight,130/85,Savory
211,Pecel Lele,Indonesian,"Fried catfish, peanut sauce, vegetables",Mild,4.7,Seafood Enthusiasts,High,High,Overweight,130/85,Savory
212,Ketoprak,Indonesian,"Tofu, rice cake, vermicelli, peanut sauce, crackers",Mild,4.6,Vegetarians,High,Mild,Normal,120/80,Savory
213,Ikan Bakar,Indonesian,"Grilled fish with sambal, lime",High,4.5,Seafood Enthusiasts,High,Low,Normal,118/75,Savory
214,Soto Betawi,Indonesian,"Beef soup, coconut milk, tomatoes, potatoes, vermicelli",Mild,4.8,Soup Lovers,High,Mild,Normal,120/80,Neutral
215,Bubur Ayam,Indonesian,"Chicken porridge, shredded chicken, fried shallots, soy sauce",Mild,4.7,Comfort Food Enthusiasts,High,High,Overweight,130/85,Neutral
216,Rujak Buah,Indonesian,"Fruit salad, tamarind dressing, peanuts, chili",Mild,4.9,Healthy Eaters,High,Low,Normal,118/75,Spicy
217,Lontong Sayur,Indonesian,"Rice cake soup, tofu, vegetables, coconut milk",Mild,4.6,Vegetarians,High,Mild,Overweight,130/85,Savory
218,Serabi,Indonesian,Coconut pancakes with palm sugar,Mild,4.8,Indonesian Dessert Lovers,Low,Moderate,Normal,120/80,Sweet
219,Sate Padang,Indonesian,Grilled beef skewers with Padang-style spicy sauce,High,4.7,Meat Lovers,High,Low,Normal,122/78,Spicy
220,Pisang Ijo,Indonesian,"Banana wrapped in green pancake, palm sugar, coconut milk",Mild,4.6,Indonesian Dessert Lovers,Low,Low,Normal,118/75,Sweet
221,Bubur Ayam,Indonesian,Chicken porridge with shredded chicken and condiments,Mild,4.7,Comfort Food Enthusiasts,High,High,Underweight,110/70,Neutral
222,Sayur Lodeh,Indonesian,"Vegetable stew in coconut milk, tofu, tempeh",Mild,4.7,Vegetarians,High,High,Underweight,105/65,Savory
223,Tahu Tek,Indonesian,"Fried tofu with peanut sauce, boiled eggs, rice cake",Mild,4.9,Street Snack Fans,Low,Low,Underweight,105/65,Savory
224,Coto Makassar,Indonesian,"Beef soup with nuts, herbs, spices",Mild,4.7,Soup Lovers,High,Moderate,Underweight,105/65,Savory
225,Sate Kulit,Indonesian,"Grilled skewers made from cow skin, sweet soy sauce",Moderate,4.8,Adventurous Eaters,High,Mild,Underweight,105/65,Savory
226,Sambal Udang,Indonesian,Spicy shrimp with chili sauce,Moderate,4.8,Seafood Enthusiasts,High,High,Underweight,105/65,Spicy
227,Sambal Matah,Indonesian,Raw shallot and lemongrass sambal,High,4.6,Spicy Food Enthusiasts,High,Low,Underweight,105/65,Spicy
228,Bubur Ayam,Indonesian,"Chicken porridge, shredded chicken, fried shallots, soy sauce",Mild,4.7,Comfort Food Enthusiasts,High,High,Underweight,110/70,Neutral
229,Pisang Ijo,Indonesian,"Banana wrapped in green pancake, palm sugar, coconut milk",Mild,4.6,Indonesian Dessert Lovers,Low,Low,Underweight,105/65,Sweet
230,Asinan,Indonesian,"Preserved fruits and vegetables, peanut sauce",Mild,4.5,Healthy Eaters,High,High,Underweight,105/65,Savory
231,Es Teler,Indonesian,"Mixed fruit cocktail with avocado, coconut, condensed milk",Mild,4.6,Indonesian Dessert Lovers,Low,High,Underweight,105/65,Sweet
232,Bubur Ketan,Indonesian,"Sticky rice porridge with chicken, mushrooms, soy sauce",Mild,4.5,Comfort Food Enthusiasts,High,Low,Underweight,105/65,Savory
233,Sate Kambing,Indonesian,"Grilled lamb skewers, sweet soy sauce, peanut sauce",Moderate,4.8,Meat Lovers,High,Mild,Underweight,105/65,Savory
234,Serabi,Indonesian,Coconut pancakes with palm sugar,Mild,4.8,Indonesian Dessert Lovers,Low,Moderate,Underweight,105/65,Sweet
235,Soto Betawi,Indonesian,"Beef soup, coconut milk, tomatoes, potatoes, vermicelli",Mild,4.8,Soup Lovers,High,Mild,Underweight,105/65,Neutral
236,Sate Padang,Indonesian,Grilled beef skewers with Padang-style spicy sauce,High,4.7,Meat Lovers,High,Low,Underweight,105/65,Spicy
237,Nasi Tumpeng,Indonesian,"Conical yellow rice, various side dishes",Moderate,4.7,Celebrations,High,Low,Underweight,105/65,Savory
238,Rujak Cingur,Indonesian,"Salad with beef snout, fruits, vegetables, shrimp paste",Mild,4.7,Healthy Eaters,High,High,Underweight,105/65,Spicy
239,Gado-Gado,Indonesian,Mixed vegetables with peanut sauce,Mild,4.6,Vegetarians,High,Low,Underweight,105/65,Savory
240,Mie Goreng,Indonesian,"Fried noodles with chicken, prawns, vegetables, and sweet soy sauce",Moderate,4.8,Street Food Fans,High,Mild,Underweight,105/65,Savory
241,Sop Iga,Indonesian,"Beef rib soup with vegetables, herbs, spices",Mild,4.6,Soup Lovers,High,Moderate,Underweight,105/65,Savory
242,Bebek Goreng,Indonesian,"Fried duck, sweet soy sauce, lime",Moderate,4.8,Meat Lovers,High,Moderate,Underweight,105/65,Savory
243,Pisang Molen,Indonesian,Deep-fried banana roll,Mild,4.7,Street Snack Fans,Low,High,Underweight,105/65,Sweet
244,Sambal Matah,Indonesian,Raw shallot and lemongrass sambal,High,4.6,Spicy Food Enthusiasts,High,Low,Underweight,105/65,Spicy
245,Sate Kambing,Indonesian,"Grilled lamb skewers, sweet soy sauce, peanut sauce",Moderate,4.8,Meat Lovers,High,Mild,Underweight,105/65,Savory
246,Pecel Lele,Indonesian,"Fried catfish, peanut sauce, vegetables",Mild,4.7,Seafood Enthusiasts,High,High,Underweight,105/65,Savory
247,Ketoprak,Indonesian,"Tofu, rice cake, vermicelli, peanut sauce, crackers",Mild,4.6,Vegetarians,High,Mild,Underweight,105/65,Savory
248,Ikan Bakar,Indonesian,"Grilled fish with sambal, lime",High,4.5,Seafood Enthusiasts,High,Low,Underweight,105/65,Savory
249,Soto Betawi,Indonesian,"Beef soup, coconut milk, tomatoes, potatoes, vermicelli",Mild,4.8,Soup Lovers,High,Mild,Underweight,105/65,Neutral
250,Bubur Ayam,Indonesian,"Chicken porridge, shredded chicken, fried shallots, soy sauce",Mild,4.7,Comfort Food Enthusiasts,High,High,Underweight,110/70,Neutral
251,Rujak Buah,Indonesian,"Fruit salad, tamarind dressing, peanuts, chili",Mild,4.9,Healthy Eaters,High,Low,Underweight,105/65,Spicy
252,Lontong Sayur,Indonesian,"Rice cake soup, tofu, vegetables, coconut milk",Mild,4.6,Vegetarians,High,Mild,Underweight,105/65,Savory
253,Serabi,Indonesian,Coconut pancakes with palm sugar,Mild,4.8,Indonesian Dessert Lovers,Low,Moderate,Underweight,105/65,Sweet
254,Sate Padang,Indonesian,Grilled beef skewers with Padang-style spicy sauce,High,4.7,Meat Lovers,High,Low,Underweight,105/65,Spicy
255,Pisang Ijo,Indonesian,"Banana wrapped in green pancake, palm sugar, coconut milk",Mild,4.6,Indonesian Dessert Lovers,Low,Low,Underweight,105/65,Sweet
256,Asinan,Indonesian,"Preserved fruits and vegetables, peanut sauce",Mild,4.5,Healthy Eaters,High,High,Underweight,105/65,Savory
257,Mie Goreng,Indonesian,"Fried noodles, chicken, prawns, vegetables, sweet soy sauce",Moderate,4.8,Street Food Fans,High,Mild,Underweight,105/65,Savory
258,Rawon,Indonesian,"Black beef soup, keluak, herbs, spices",Moderate,4.5,Soup Lovers,High,Moderate,Underweight,105/65,Savory
259,Pisang Molen,Indonesian,Deep-fried banana roll,Mild,4.7,Street Snack Fans,Low,High,Underweight,105/65,Sweet
260,Ikan Bakar,Indonesian,"Grilled fish with sambal, lime",High,4.5,Seafood Enthusiasts,High,Low,Underweight,105/65,Savory
261,Serabi,Indonesian,Coconut pancakes with palm sugar,Mild,4.8,Indonesian Dessert Lovers,Low,Moderate,Underweight,105/65,Sweet
262,Asinan,Indonesian,Preserved fruits and vegetables with peanut sauce,Mild,4.5,Healthy Eaters,High,High,Underweight,105/65,Savory
263,Martabak,Indonesian,Stuffed pancake with sweet or savory fillings,Mild,4.9,Street Snack Fans,High,Low,Underweight,105/65,Neutral
264,Ayam Goreng,Indonesian,Fried chicken with herbs and spices,Moderate,4.8,Meat Lovers,High,Mild,Underweight,105/65,Savory
265,Soto Ayam,Indonesian,"Chicken soup with vermicelli, turmeric, and herbs",Mild,4.7,Soup Lovers,High,Low,Underweight,105/65,Savory
266,Pisang Goreng,Indonesian,Deep-fried bananas,Mild,4.6,Street Snack Fans,Low,High,Underweight,105/65,Sweet
267,Rujak,Indonesian,Mixed fruit salad with sweet and spicy dressing,Mild,4.5,Healthy Eaters,High,Low,Underweight,105/65,Spicy
